Timestamp,Algorithm,Seed,Hyperparameters,Mean Reward,Std Reward,Training Time
2024-04-17 00:48:00,DQN,238,"{'learning_rate': 0.002247987840938172, 'gamma': 0.9179169765110325, 'buffer_size': 7006, 'batch_size': 160, 'train_freq': 48, 'target_update_interval': 2705, 'exploration_fraction': 0.3181798026055036, 'exploration_final_eps': 0.07047317064984021, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",172.2,5.912698199637792,146.80633664131165
2024-04-17 00:51:45,DQN,253,"{'learning_rate': 5.489419333327866e-05, 'gamma': 0.9563241973827113, 'buffer_size': 8408, 'batch_size': 149, 'train_freq': 24, 'target_update_interval': 2964, 'exploration_fraction': 0.36958064264809487, 'exploration_final_eps': 0.0775687251387457, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-25.0,265.7525164509266,223.68563675880432
2024-04-17 00:54:34,DQN,741,"{'learning_rate': 1.6381599881085227e-05, 'gamma': 0.9422384338634491, 'buffer_size': 7433, 'batch_size': 184, 'train_freq': 34, 'target_update_interval': 2126, 'exploration_fraction': 0.29040586187382234, 'exploration_final_eps': 0.09106919221554935, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",359.8,5.741080037762929,168.73665571212769
2024-04-17 00:58:56,DQN,947,"{'learning_rate': 0.00029763777067702866, 'gamma': 0.9070574502536454, 'buffer_size': 8062, 'batch_size': 214, 'train_freq': 34, 'target_update_interval': 2195, 'exploration_fraction': 0.28090828608545315, 'exploration_final_eps': 0.09249708570234492, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-290.2,221.0578204904771,261.4406943321228
2024-04-17 01:01:46,DQN,827,"{'learning_rate': 0.00018268883218581976, 'gamma': 0.939238639277868, 'buffer_size': 7792, 'batch_size': 186, 'train_freq': 41, 'target_update_interval': 2477, 'exploration_fraction': 0.2986065229920642, 'exploration_final_eps': 0.08763336599834182, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",156.8,116.84759304324587,168.86835765838623
2024-04-17 01:04:54,DQN,645,"{'learning_rate': 0.0035652254214874396, 'gamma': 0.9263005483200041, 'buffer_size': 7385, 'batch_size': 201, 'train_freq': 23, 'target_update_interval': 2022, 'exploration_fraction': 0.33501622231595296, 'exploration_final_eps': 0.08321821481389709, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",356.6,40.96144528700128,187.62699103355408
2024-04-17 01:09:26,DQN,136,"{'learning_rate': 0.005582947555429532, 'gamma': 0.9277820711596986, 'buffer_size': 7509, 'batch_size': 201, 'train_freq': 10, 'target_update_interval': 3145, 'exploration_fraction': 0.340732088577675, 'exploration_final_eps': 0.07332097198155078, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",276.0,100.20379234340385,271.80179738998413
2024-04-17 01:12:36,DQN,340,"{'learning_rate': 0.0031204635048776, 'gamma': 0.9181048757802177, 'buffer_size': 7419, 'batch_size': 228, 'train_freq': 24, 'target_update_interval': 2168, 'exploration_fraction': 0.31583636885155136, 'exploration_final_eps': 0.08441664393939216, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",223.0,56.82605036424756,188.93737077713013
2024-04-17 01:15:25,DQN,754,"{'learning_rate': 0.00424191150860714, 'gamma': 0.9704858960583252, 'buffer_size': 7163, 'batch_size': 195, 'train_freq': 32, 'target_update_interval': 1976, 'exploration_fraction': 0.3542461572613019, 'exploration_final_eps': 0.07856958043045087, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",252.8,41.93518808828691,168.36544609069824
2024-04-17 01:19:19,DQN,809,"{'learning_rate': 0.0013578387493363181, 'gamma': 0.9344837207035769, 'buffer_size': 7959, 'batch_size': 217, 'train_freq': 16, 'target_update_interval': 1713, 'exploration_fraction': 0.332565676505177, 'exploration_final_eps': 0.09101943485764126, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",266.8,170.5161575921766,233.19747161865234
2024-04-17 01:27:03,DQN,489,"{'learning_rate': 0.008948089085485484, 'gamma': 0.9584803194772405, 'buffer_size': 7360, 'batch_size': 113, 'train_freq': 5, 'target_update_interval': 2507, 'exploration_fraction': 0.261341459714065, 'exploration_final_eps': 0.08278935888322322, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-768.6,120.80827786207367,463.45686316490173
2024-04-17 01:29:57,DQN,172,"{'learning_rate': 1.5119915519793452e-05, 'gamma': 0.9485831761731078, 'buffer_size': 7609, 'batch_size': 244, 'train_freq': 36, 'target_update_interval': 3436, 'exploration_fraction': 0.2896253313055573, 'exploration_final_eps': 0.08795386122722848, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",92.8,15.663971399361019,172.69493579864502
2024-04-17 01:32:17,DQN,306,"{'learning_rate': 0.0021235135903841236, 'gamma': 0.9113705045968826, 'buffer_size': 6981, 'batch_size': 58, 'train_freq': 28, 'target_update_interval': 2805, 'exploration_fraction': 0.3757157578915672, 'exploration_final_eps': 0.06840516008777915, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",129.4,24.88855158501595,139.26712369918823
2024-04-17 01:34:40,DQN,605,"{'learning_rate': 0.0005663267816565127, 'gamma': 0.8954351673281481, 'buffer_size': 7273, 'batch_size': 41, 'train_freq': 22, 'target_update_interval': 2019, 'exploration_fraction': 0.3075332293136372, 'exploration_final_eps': 0.082068390636865, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",174.0,60.633324170789116,142.89074277877808
